Query,Type
Can I book a bus ticket from Islamabad to Peshawar and get refund if I cancel?,api
Find me flights from Karachi to Dubai and tell me if they are refundable.,api
Can I get a refund if I cancel my flight from Lahore to Islamabad?,static
Show me hotels in Murree this weekend and their cancellation policies.,api
"I want to book a flight from Karachi to Bangkok, what is the baggage allowance?",api
Can I reserve a hotel in Naran for next week and cancel later without charges?,api
Book me a bus from Lahore to Faisalabad and tell me refund policy.,api
Check flights from Islamabad to Riyadh and let me know if cancellation is free.,api
Show me Lahore to Multan buses tomorrow morning and their refund policy.,api
Find me hotels in Karachi tonight with free cancellation.,api
How can I get a refund for my booked flight ticket from Bookme?,static
Can I cancel my flight ticket and get a full refund within 24 hours?,static
I need to book a bus ticket and know refund policy before payment.,api
Book me a hotel in Islamabad for tomorrow and tell me check-in policy.,api
Check flights to Dubai from Karachi tomorrow and tell me fare rules.,api
Can I book a bus seat and later change it to another seat?,static
What is the refund policy for buses if I cancel 1 hour before departure?,static
Show flights from Karachi to Doha next week with refund option.,api
How can I cancel my hotel booking made on Bookme.pk?,static
Find me cheap flights to Dubai and tell me luggage limit.,api
Can I change passenger name after booking flight from Bookme?,static
Book a flight from Islamabad to Dubai and tell me visa requirements.,api
"I want to book a hotel in Lahore, does it allow early check-in?",api
Check flights from Lahore to Kuala Lumpur and baggage policy.,api
Can I cancel my bus ticket online and get refund immediately?,static
Show me hotels in Skardu with breakfast included and free cancellation.,api
Find flights from Karachi to Singapore and tell me cancellation charges.,api
Is it possible to book movie tickets and cancel them later?,static
Can I book a bus ticket from Multan to Faisalabad for tonight and get refund if not used?,api
Show me hotels in Hunza for next week with cancellation policy.,api
Book me flights from Lahore to Dubai for next Monday with refund option.,api
"I need a hotel in Karachi tonight, can I cancel if plans change?",api
Can I cancel flight booked from Bookme and get refund in my wallet?,static
Check buses from Islamabad to Abbottabad today and tell me refund policy.,api
Book me a flight from Karachi to Muscat tomorrow and tell me hand carry limit.,api
Can I get cashback if I book flight tickets through Bookme.pk?,static
Show flights from Lahore to Istanbul next month and refund options.,api
Can I book an event ticket and cancel later for refund?,static
Find hotels in Muzaffarabad this week with refund facility.,api
Check buses from Lahore to Gujranwala today with cancellation terms.,api
Book a hotel in Murree for upcoming Friday with free cancellation.,api
Can I change flight date after booking on Bookme.pk?,static
I need bus tickets Lahore to Rawalpindi today and refund details.,api
Book me flights from Karachi to Colombo next week and tell me refund policy.,api
Can I pay for hotel booking via JazzCash and get refund in same account?,static
Show flights Karachi to Doha this week with cancellation policy.,api
Can I cancel train tickets booked via Bookme.pk?,static
Find me hotel in Islamabad today and tell me if free cancellation available.,api
Can I book a hotel and pay at check-in through Bookme.pk?,static
